"Coal India",
"China Shenhua",
"Adani",
"Shanxi Coking",
"Anglo American",
"BHP Billiton",
"Yitai Coal",
"Datang Intl",
"China Coal",
"Peabody Energy",
"Glencore Xstrata",
"Datong Coal",
"Yanzhou Coal",
"DEH",
"Exxaro",
"Yangquan Coal",
"Mechel",
"Arch Coal",
"Alpha Natural Resources",
"EVRAZ",
"Mitsubishi",
"Vale", "Vale ", "!?Vale", "Vale",
"Raspadskaya",
"Rio Tinto",
"Asia Resource",
"Rusal",
"Neyveli Lignite",
"Pingdingshan",
"Cloud Peak",
"Sasol",
"Tata Steel",
"AGL", "!?AGL", "AGL",
"Teck",
"Severstal",
"Coalspur",
"Kuzbass Fuel ",
"Polyus Gold",
"Energy Ventures",
"Whitehaven Coal",
"Banpu",
"Bayan",
"RWE", "!ERWE", "RWE",
"Consol Energy",
"WHSP",
"Westmoreland",
"Resource Generation",
"Churchill Mining",
"NTPC",
"Adaro",
"Nacco",
"Idemitsu Kosan",
"ARLP",
"Huolinhe Opencut",
"Golden Energy",
"Mitsui & Co",
"CoAL", "!?CoAL", "CoAL",
"NLMK",
"Tata Power",
"MMK OJSC",
"Wesfarmers",
"Kazakhmys",
"New World Resources",
"MMC",
"Itochu",
"Cockatoo",
"Shanxi Meijin Energy",
"Jizhong Energy",
"Bandanna",
"Polo Resources",
"Allete",
"CLP Holdings",
"Aspire",
"Aspire D",
"Marubeni",
"China Resources",
"Walter Energy",
"Coal Energy",
"Indika",
"Arcelor Mittal",
"FirstEnergy",
"Black Hills",
"Wescoal",
"Grupo Mexico",
"ARM ", "!?ARM", "ARM",
"Shanxi Coal",
"Capital Power",
"PTT",
"Shanxi Lanhua Sci-Tech",
"Fortune",
"Cardero",
"Zhengzhou  Coal",
"SAIL",
"JSPL",
"Shougang Fushan",
"Jingyuan",
"Stanmore",
"Prophecy Coal",
"Cliffs Natural Resources",
"James River",
"CESC",
"Alcoa",